NODE,TIME,DATA TYPE,VALUES
78,1,TOTAL_icmp_sent,27
78,1,TOTAL_icmp_recv,61
71,1,TOTAL_icmp_sent,20
71,1,TOTAL_icmp_recv,30
41,1,TOTAL_icmp_sent,23
36,1,TOTAL_icmp_sent,23
41,1,TOTAL_icmp_recv,70
36,1,TOTAL_icmp_recv,53
26,1,TOTAL_icmp_sent,24
26,1,TOTAL_icmp_recv,46
72,1,TOTAL_icmp_sent,14
72,1,TOTAL_icmp_recv,41
87,1,TOTAL_icmp_sent,16
87,1,TOTAL_icmp_recv,37
10,1,TOTAL_icmp_sent,16
10,1,TOTAL_icmp_recv,35
69,1,TOTAL_icmp_sent,16
69,1,TOTAL_icmp_recv,39
110,1,TOTAL_icmp_sent,12
110,1,TOTAL_icmp_recv,50
81,1,TOTAL_icmp_sent,14
81,1,TOTAL_icmp_recv,57
50,1,TOTAL_icmp_sent,17
62,1,TOTAL_icmp_sent,14
50,1,TOTAL_icmp_recv,62
96,1,TOTAL_icmp_sent,41
62,1,TOTAL_icmp_recv,47
96,1,TOTAL_icmp_recv,73
117,1,TOTAL_icmp_sent,14
52,1,TOTAL_icmp_sent,16
117,1,TOTAL_icmp_recv,31
52,1,TOTAL_icmp_recv,28
100,1,TOTAL_icmp_sent,18
100,1,TOTAL_icmp_recv,34
30,1,TOTAL_icmp_sent,23
30,1,TOTAL_icmp_recv,44
108,1,TOTAL_icmp_sent,13
106,1,TOTAL_icmp_sent,16
108,1,TOTAL_icmp_recv,39
106,1,TOTAL_icmp_recv,56
57,1,TOTAL_icmp_sent,17
57,1,TOTAL_icmp_recv,48
97,1,TOTAL_icmp_sent,22
97,1,TOTAL_icmp_recv,54
105,1,TOTAL_icmp_sent,22
105,1,TOTAL_icmp_recv,21
13,1,TOTAL_icmp_sent,19
13,1,TOTAL_icmp_recv,60
91,1,TOTAL_icmp_sent,11
91,1,TOTAL_icmp_recv,30
33,1,TOTAL_icmp_sent,30
33,1,TOTAL_icmp_recv,63
90,1,TOTAL_icmp_sent,16
56,1,TOTAL_icmp_sent,16
37,1,TOTAL_icmp_sent,20
90,1,TOTAL_icmp_recv,43
37,1,TOTAL_icmp_recv,49
56,1,TOTAL_icmp_recv,40
46,1,TOTAL_icmp_sent,33
46,1,TOTAL_icmp_recv,67
47,1,TOTAL_icmp_sent,28
