NODE,TIME,DATA TYPE,VALUE
78 R,1,CURRENT_icmp_sent,27
78 R,1,CURRENT_icmp_recv,61
71 R,1,CURRENT_icmp_sent,20
71 R,1,CURRENT_icmp_recv,30
41 R,1,CURRENT_icmp_sent,23
36 R,1,CURRENT_icmp_sent,23
41 R,1,CURRENT_icmp_recv,70
36 R,1,CURRENT_icmp_recv,53
26 R,1,CURRENT_icmp_sent,24
26 R,1,CURRENT_icmp_recv,46
72 R,1,CURRENT_icmp_sent,14
72 R,1,CURRENT_icmp_recv,41
87 R,1,CURRENT_icmp_sent,16
87 R,1,CURRENT_icmp_recv,37
10 R,1,CURRENT_icmp_sent,16
10 R,1,CURRENT_icmp_recv,35
69 R,1,CURRENT_icmp_sent,16
69 R,1,CURRENT_icmp_recv,39
110 R,1,CURRENT_icmp_sent,12
110 R,1,CURRENT_icmp_recv,50
81 R,1,CURRENT_icmp_sent,14
81 R,1,CURRENT_icmp_recv,57
50 R,1,CURRENT_icmp_sent,17
62 R,1,CURRENT_icmp_sent,14
50 R,1,CURRENT_icmp_recv,62
96 R,1,CURRENT_icmp_sent,41
62 R,1,CURRENT_icmp_recv,47
96 R,1,CURRENT_icmp_recv,73
117 R,1,CURRENT_icmp_sent,14
52 R,1,CURRENT_icmp_sent,16
117 R,1,CURRENT_icmp_recv,31
52 R,1,CURRENT_icmp_recv,28
100 R,1,CURRENT_icmp_sent,18
100 R,1,CURRENT_icmp_recv,34
30 R,1,CURRENT_icmp_sent,23
30 R,1,CURRENT_icmp_recv,44
108 R,1,CURRENT_icmp_sent,13
106 R,1,CURRENT_icmp_sent,16
108 R,1,CURRENT_icmp_recv,39
106 R,1,CURRENT_icmp_recv,56
57 R,1,CURRENT_icmp_sent,17
57 R,1,CURRENT_icmp_recv,48
97 R,1,CURRENT_icmp_sent,22
97 R,1,CURRENT_icmp_recv,54
105 R,1,CURRENT_icmp_sent,22
105 R,1,CURRENT_icmp_recv,21
13 R,1,CURRENT_icmp_sent,19
13 R,1,CURRENT_icmp_recv,60
91 R,1,CURRENT_icmp_sent,11
91 R,1,CURRENT_icmp_recv,30
33 R,1,CURRENT_icmp_sent,30
33 R,1,CURRENT_icmp_recv,63
90 R,1,CURRENT_icmp_sent,16
37 R,1,CURRENT_icmp_sent,20
56 R,1,CURRENT_icmp_sent,16
90 R,1,CURRENT_icmp_recv,43
37 R,1,CURRENT_icmp_recv,49
56 R,1,CURRENT_icmp_recv,40
46 R,1,CURRENT_icmp_sent,33
46 R,1,CURRENT_icmp_recv,67
47 R,1,CURRENT_icmp_sent,28
47 R,1,CURRENT_icmp_recv,73
2 R,1,CURRENT_icmp_sent,51
2 R,1,CURRENT_icmp_recv,81
74 R,1,CURRENT_icmp_sent,27
74 R,1,CURRENT_icmp_recv,64
32 R,1,CURRENT_icmp_sent,12
32 R,1,CURRENT_icmp_recv,26
8 R,1,CURRENT_icmp_sent,15
83 R,1,CURRENT_icmp_sent,16
8 R,1,CURRENT_icmp_recv,33
83 R,1,CURRENT_icmp_recv,43
79 R,1,CURRENT_icmp_sent,25
79 R,1,CURRENT_icmp_recv,51
112 R,1,CURRENT_icmp_sent,14
88 R,1,CURRENT_icmp_sent,15
112 R,1,CURRENT_icmp_recv,43
88 R,1,CURRENT_icmp_recv,31
67 R,1,CURRENT_icmp_sent,14
67 R,1,CURRENT_icmp_recv,45
111 R,1,CURRENT_icmp_sent,18
111 R,1,CURRENT_icmp_recv,30
70 R,1,CURRENT_icmp_sent,16
70 R,1,CURRENT_icmp_recv,40
119 R,1,CURRENT_icmp_sent,16
119 R,1,CURRENT_icmp_recv,25
98 R,1,CURRENT_icmp_sent,20
98 R,1,CURRENT_icmp_recv,70
20 R,1,CURRENT_icmp_sent,14
65 R,1,CURRENT_icmp_sent,13
20 R,1,CURRENT_icmp_recv,48
65 R,1,CURRENT_icmp_recv,27
4 R,1,CURRENT_icmp_sent,24
4 R,1,CURRENT_icmp_recv,61
35 R,1,CURRENT_icmp_sent,15
35 R,1,CURRENT_icmp_recv,43
29 R,1,CURRENT_icmp_sent,52
29 R,1,CURRENT_icmp_recv,71
68 R,1,CURRENT_icmp_sent,17
68 R,1,CURRENT_icmp_recv,45
66 R,1,CURRENT_icmp_sent,59
66 R,1,CURRENT_icmp_recv,76
43 R,1,CURRENT_icmp_sent,40
43 R,1,CURRENT_icmp_recv,89
9 R,1,CURRENT_icmp_sent,20
9 R,1,CURRENT_icmp_recv,55
42 R,1,CURRENT_icmp_sent,18
49 R,1,CURRENT_icmp_sent,21
55 R,1,CURRENT_icmp_sent,17
42 R,1,CURRENT_icmp_recv,41
49 R,1,CURRENT_icmp_recv,46
55 R,1,CURRENT_icmp_recv,26
16 R,1,CURRENT_icmp_sent,15
16 R,1,CURRENT_icmp_recv,36
63 R,1,CURRENT_icmp_sent,24
63 R,1,CURRENT_icmp_recv,51
103 R,1,CURRENT_icmp_sent,17
103 R,1,CURRENT_icmp_recv,35
17 R,1,CURRENT_icmp_sent,18
17 R,1,CURRENT_icmp_recv,21
48 R,1,CURRENT_icmp_sent,24
27 R,1,CURRENT_icmp_sent,15
48 R,1,CURRENT_icmp_recv,48
27 R,1,CURRENT_icmp_recv,41
80 R,1,CURRENT_icmp_sent,31
22 R,1,CURRENT_icmp_sent,20
80 R,1,CURRENT_icmp_recv,44
39 R,1,CURRENT_icmp_sent,23
18 R,1,CURRENT_icmp_sent,17
22 R,1,CURRENT_icmp_recv,57
39 R,1,CURRENT_icmp_recv,37
18 R,1,CURRENT_icmp_recv,55
64 R,1,CURRENT_icmp_sent,53
64 R,1,CURRENT_icmp_recv,69
60 R,1,CURRENT_icmp_sent,17
60 R,1,CURRENT_icmp_recv,56
54 R,1,CURRENT_icmp_sent,29
54 R,1,CURRENT_icmp_recv,46
101 R,1,CURRENT_icmp_sent,14
101 R,1,CURRENT_icmp_recv,34
121 R,1,CURRENT_icmp_sent,16
121 R,1,CURRENT_icmp_recv,33
76 R,1,CURRENT_icmp_sent,46
12 R,1,CURRENT_icmp_sent,17
76 R,1,CURRENT_icmp_recv,87
12 R,1,CURRENT_icmp_recv,43
120 R,1,CURRENT_icmp_sent,13
120 R,1,CURRENT_icmp_recv,38
73 R,1,CURRENT_icmp_sent,19
73 R,1,CURRENT_icmp_recv,56
115 R,1,CURRENT_icmp_sent,13
115 R,1,CURRENT_icmp_recv,25
14 R,1,CURRENT_icmp_sent,23
14 R,1,CURRENT_icmp_recv,61
95 R,1,CURRENT_icmp_sent,61
95 R,1,CURRENT_icmp_recv,108
51 R,1,CURRENT_icmp_sent,23
51 R,1,CURRENT_icmp_recv,22
118 R,1,CURRENT_icmp_sent,17
118 R,1,CURRENT_icmp_recv,30
77 R,1,CURRENT_icmp_sent,45
31 R,1,CURRENT_icmp_sent,13
77 R,1,CURRENT_icmp_recv,79
31 R,1,CURRENT_icmp_recv,33
113 R,1,CURRENT_icmp_sent,18
113 R,1,CURRENT_icmp_recv,45
24 R,1,CURRENT_icmp_sent,16
24 R,1,CURRENT_icmp_recv,42
53 R,1,CURRENT_icmp_sent,17
53 R,1,CURRENT_icmp_recv,28
45 R,1,CURRENT_icmp_sent,12
45 R,1,CURRENT_icmp_recv,26
28 R,1,CURRENT_icmp_sent,16
28 R,1,CURRENT_icmp_recv,45
58 R,1,CURRENT_icmp_sent,14
58 R,1,CURRENT_icmp_recv,16
84 R,1,CURRENT_icmp_sent,26
11 R,1,CURRENT_icmp_sent,44
84 R,1,CURRENT_icmp_recv,56
11 R,1,CURRENT_icmp_recv,70
44 R,1,CURRENT_icmp_sent,15
44 R,1,CURRENT_icmp_recv,36
21 R,1,CURRENT_icmp_sent,71
21 R,1,CURRENT_icmp_recv,96
6 R,1,CURRENT_icmp_sent,22
6 R,1,CURRENT_icmp_recv,67
107 R,1,CURRENT_icmp_sent,15
114 R,1,CURRENT_icmp_sent,99
107 R,1,CURRENT_icmp_recv,45
114 R,1,CURRENT_icmp_recv,131
82 R,1,CURRENT_icmp_sent,15
82 R,1,CURRENT_icmp_recv,42
92 R,1,CURRENT_icmp_sent,39
89 R,1,CURRENT_icmp_sent,27
92 R,1,CURRENT_icmp_recv,82
89 R,1,CURRENT_icmp_recv,52
104 R,1,CURRENT_icmp_sent,15
104 R,1,CURRENT_icmp_recv,21
40 R,1,CURRENT_icmp_sent,23
40 R,1,CURRENT_icmp_recv,56
99 R,1,CURRENT_icmp_sent,15
99 R,1,CURRENT_icmp_recv,31
19 R,1,CURRENT_icmp_sent,33
19 R,1,CURRENT_icmp_recv,78
94 R,1,CURRENT_icmp_sent,15
75 R,1,CURRENT_icmp_sent,23
94 R,1,CURRENT_icmp_recv,28
75 R,1,CURRENT_icmp_recv,58
85 R,1,CURRENT_icmp_sent,44
85 R,1,CURRENT_icmp_recv,89
109 R,1,CURRENT_icmp_sent,18
109 R,1,CURRENT_icmp_recv,22
86 R,1,CURRENT_icmp_sent,19
86 R,1,CURRENT_icmp_recv,56
15 R,1,CURRENT_icmp_sent,13
15 R,1,CURRENT_icmp_recv,27
38 R,1,CURRENT_icmp_sent,95
38 R,1,CURRENT_icmp_recv,154
61 R,1,CURRENT_icmp_sent,22
61 R,1,CURRENT_icmp_recv,58
3 R,1,CURRENT_icmp_sent,44
3 R,1,CURRENT_icmp_recv,87
116 R,1,CURRENT_icmp_sent,15
116 R,1,CURRENT_icmp_recv,25
23 R,1,CURRENT_icmp_sent,57
23 R,1,CURRENT_icmp_recv,88
25 R,1,CURRENT_icmp_sent,24
25 R,1,CURRENT_icmp_recv,60
102 R,1,CURRENT_icmp_sent,16
122 R,1,CURRENT_icmp_sent,112
102 R,1,CURRENT_icmp_recv,15
122 R,1,CURRENT_icmp_recv,150
123 R,1,CURRENT_icmp_sent,21
123 R,1,CURRENT_icmp_recv,59
59 R,1,CURRENT_icmp_sent,22
59 R,1,CURRENT_icmp_recv,27
93 R,1,CURRENT_icmp_sent,17
93 R,1,CURRENT_icmp_recv,51
34 R,1,CURRENT_icmp_sent,74
34 R,1,CURRENT_icmp_recv,95
78 R,2,CURRENT_icmp_sent,30
78 R,2,CURRENT_icmp_recv,42
71 R,2,CURRENT_icmp_sent,6
71 R,2,CURRENT_icmp_recv,12
41 R,2,CURRENT_icmp_sent,12
36 R,2,CURRENT_icmp_sent,8
41 R,2,CURRENT_icmp_recv,31
36 R,2,CURRENT_icmp_recv,10
26 R,2,CURRENT_icmp_sent,10
26 R,2,CURRENT_icmp_recv,25
72 R,2,CURRENT_icmp_sent,8
72 R,2,CURRENT_icmp_recv,38
87 R,2,CURRENT_icmp_sent,6
87 R,2,CURRENT_icmp_recv,10
10 R,2,CURRENT_icmp_sent,6
10 R,2,CURRENT_icmp_recv,21
69 R,2,CURRENT_icmp_sent,27
69 R,2,CURRENT_icmp_recv,50
50 R,2,CURRENT_icmp_sent,15
50 R,2,CURRENT_icmp_recv,45
110 R,2,CURRENT_icmp_sent,14
81 R,2,CURRENT_icmp_sent,34
110 R,2,CURRENT_icmp_recv,21
81 R,2,CURRENT_icmp_recv,86
62 R,2,CURRENT_icmp_sent,25
62 R,2,CURRENT_icmp_recv,41
96 R,2,CURRENT_icmp_sent,21
96 R,2,CURRENT_icmp_recv,65
117 R,2,CURRENT_icmp_sent,7
117 R,2,CURRENT_icmp_recv,19
100 R,2,CURRENT_icmp_sent,4
52 R,2,CURRENT_icmp_sent,12
100 R,2,CURRENT_icmp_recv,7
52 R,2,CURRENT_icmp_recv,9
57 R,2,CURRENT_icmp_sent,32
30 R,2,CURRENT_icmp_sent,17
57 R,2,CURRENT_icmp_recv,50
30 R,2,CURRENT_icmp_recv,45
108 R,2,CURRENT_icmp_sent,8
108 R,2,CURRENT_icmp_recv,35
106 R,2,CURRENT_icmp_sent,21
106 R,2,CURRENT_icmp_recv,65
105 R,2,CURRENT_icmp_sent,3
105 R,2,CURRENT_icmp_recv,12
97 R,2,CURRENT_icmp_sent,30
97 R,2,CURRENT_icmp_recv,54
13 R,2,CURRENT_icmp_sent,27
13 R,2,CURRENT_icmp_recv,74
91 R,2,CURRENT_icmp_sent,6
91 R,2,CURRENT_icmp_recv,6
33 R,2,CURRENT_icmp_sent,17
33 R,2,CURRENT_icmp_recv,47
37 R,2,CURRENT_icmp_sent,40
37 R,2,CURRENT_icmp_recv,31
46 R,2,CURRENT_icmp_sent,10
47 R,2,CURRENT_icmp_sent,36
46 R,2,CURRENT_icmp_recv,12
90 R,2,CURRENT_icmp_sent,21
47 R,2,CURRENT_icmp_recv,56
56 R,2,CURRENT_icmp_sent,16
90 R,2,CURRENT_icmp_recv,38
56 R,2,CURRENT_icmp_recv,25
74 R,2,CURRENT_icmp_sent,49
74 R,2,CURRENT_icmp_recv,73
2 R,2,CURRENT_icmp_sent,53
2 R,2,CURRENT_icmp_recv,83
32 R,2,CURRENT_icmp_sent,5
32 R,2,CURRENT_icmp_recv,20
8 R,2,CURRENT_icmp_sent,5
83 R,2,CURRENT_icmp_sent,16
8 R,2,CURRENT_icmp_recv,10
83 R,2,CURRENT_icmp_recv,34
79 R,2,CURRENT_icmp_sent,46
79 R,2,CURRENT_icmp_recv,42
112 R,2,CURRENT_icmp_sent,17
88 R,2,CURRENT_icmp_sent,11
112 R,2,CURRENT_icmp_recv,13
88 R,2,CURRENT_icmp_recv,39
67 R,2,CURRENT_icmp_sent,18
67 R,2,CURRENT_icmp_recv,41
111 R,2,CURRENT_icmp_sent,4
111 R,2,CURRENT_icmp_recv,14
70 R,2,CURRENT_icmp_sent,4
70 R,2,CURRENT_icmp_recv,15
119 R,2,CURRENT_icmp_sent,11
119 R,2,CURRENT_icmp_recv,11
65 R,2,CURRENT_icmp_sent,7
20 R,2,CURRENT_icmp_sent,35
65 R,2,CURRENT_icmp_recv,26
20 R,2,CURRENT_icmp_recv,77
98 R,2,CURRENT_icmp_sent,33
98 R,2,CURRENT_icmp_recv,92
4 R,2,CURRENT_icmp_sent,37
4 R,2,CURRENT_icmp_recv,44
35 R,2,CURRENT_icmp_sent,8
35 R,2,CURRENT_icmp_recv,26
29 R,2,CURRENT_icmp_sent,21
68 R,2,CURRENT_icmp_sent,5
29 R,2,CURRENT_icmp_recv,13
68 R,2,CURRENT_icmp_recv,27
66 R,2,CURRENT_icmp_sent,36
66 R,2,CURRENT_icmp_recv,50
43 R,2,CURRENT_icmp_sent,64
43 R,2,CURRENT_icmp_recv,115
9 R,2,CURRENT_icmp_sent,24
9 R,2,CURRENT_icmp_recv,47
49 R,2,CURRENT_icmp_sent,25
42 R,2,CURRENT_icmp_sent,9
49 R,2,CURRENT_icmp_recv,26
42 R,2,CURRENT_icmp_recv,21
55 R,2,CURRENT_icmp_sent,5
55 R,2,CURRENT_icmp_recv,13
63 R,2,CURRENT_icmp_sent,5
63 R,2,CURRENT_icmp_recv,26
16 R,2,CURRENT_icmp_sent,28
16 R,2,CURRENT_icmp_recv,32
103 R,2,CURRENT_icmp_sent,7
103 R,2,CURRENT_icmp_recv,8
48 R,2,CURRENT_icmp_sent,76
17 R,2,CURRENT_icmp_sent,12
17 R,2,CURRENT_icmp_recv,11
48 R,2,CURRENT_icmp_recv,109
80 R,2,CURRENT_icmp_sent,28
27 R,2,CURRENT_icmp_sent,16
80 R,2,CURRENT_icmp_recv,24
27 R,2,CURRENT_icmp_recv,25
22 R,2,CURRENT_icmp_sent,29
39 R,2,CURRENT_icmp_sent,17
64 R,2,CURRENT_icmp_sent,36
22 R,2,CURRENT_icmp_recv,63
39 R,2,CURRENT_icmp_recv,18
18 R,2,CURRENT_icmp_sent,50
64 R,2,CURRENT_icmp_recv,51
18 R,2,CURRENT_icmp_recv,87
60 R,2,CURRENT_icmp_sent,12
60 R,2,CURRENT_icmp_recv,35
54 R,2,CURRENT_icmp_sent,21
54 R,2,CURRENT_icmp_recv,45
101 R,2,CURRENT_icmp_sent,5
101 R,2,CURRENT_icmp_recv,11
121 R,2,CURRENT_icmp_sent,6
121 R,2,CURRENT_icmp_recv,15
76 R,2,CURRENT_icmp_sent,37
76 R,2,CURRENT_icmp_recv,58
120 R,2,CURRENT_icmp_sent,17
12 R,2,CURRENT_icmp_sent,28
120 R,2,CURRENT_icmp_recv,33
12 R,2,CURRENT_icmp_recv,61
73 R,2,CURRENT_icmp_sent,22
73 R,2,CURRENT_icmp_recv,39
115 R,2,CURRENT_icmp_sent,5
115 R,2,CURRENT_icmp_recv,8
95 R,2,CURRENT_icmp_sent,26
95 R,2,CURRENT_icmp_recv,59
14 R,2,CURRENT_icmp_sent,32
14 R,2,CURRENT_icmp_recv,64
51 R,2,CURRENT_icmp_sent,6
51 R,2,CURRENT_icmp_recv,5
77 R,2,CURRENT_icmp_sent,11
77 R,2,CURRENT_icmp_recv,19
118 R,2,CURRENT_icmp_sent,22
31 R,2,CURRENT_icmp_sent,10
118 R,2,CURRENT_icmp_recv,30
31 R,2,CURRENT_icmp_recv,34
113 R,2,CURRENT_icmp_sent,24
113 R,2,CURRENT_icmp_recv,38
24 R,2,CURRENT_icmp_sent,15
24 R,2,CURRENT_icmp_recv,36
53 R,2,CURRENT_icmp_sent,10
28 R,2,CURRENT_icmp_sent,21
53 R,2,CURRENT_icmp_recv,10
28 R,2,CURRENT_icmp_recv,18
45 R,2,CURRENT_icmp_sent,23
58 R,2,CURRENT_icmp_sent,5
45 R,2,CURRENT_icmp_recv,40
58 R,2,CURRENT_icmp_recv,6
84 R,2,CURRENT_icmp_sent,17
84 R,2,CURRENT_icmp_recv,36
11 R,2,CURRENT_icmp_sent,13
11 R,2,CURRENT_icmp_recv,20
6 R,2,CURRENT_icmp_sent,26
6 R,2,CURRENT_icmp_recv,38
44 R,2,CURRENT_icmp_sent,10
44 R,2,CURRENT_icmp_recv,26
21 R,2,CURRENT_icmp_sent,56
21 R,2,CURRENT_icmp_recv,66
114 R,2,CURRENT_icmp_sent,95
107 R,2,CURRENT_icmp_sent,7
114 R,2,CURRENT_icmp_recv,138
107 R,2,CURRENT_icmp_recv,66
82 R,2,CURRENT_icmp_sent,18
82 R,2,CURRENT_icmp_recv,13
92 R,2,CURRENT_icmp_sent,58
92 R,2,CURRENT_icmp_recv,95
89 R,2,CURRENT_icmp_sent,19
89 R,2,CURRENT_icmp_recv,37
40 R,2,CURRENT_icmp_sent,26
104 R,2,CURRENT_icmp_sent,14
40 R,2,CURRENT_icmp_recv,49
104 R,2,CURRENT_icmp_recv,19
99 R,2,CURRENT_icmp_sent,16
99 R,2,CURRENT_icmp_recv,41
19 R,2,CURRENT_icmp_sent,271
19 R,2,CURRENT_icmp_recv,312
94 R,2,CURRENT_icmp_sent,8
94 R,2,CURRENT_icmp_recv,43
75 R,2,CURRENT_icmp_sent,274
75 R,2,CURRENT_icmp_recv,332
85 R,2,CURRENT_icmp_sent,32
85 R,2,CURRENT_icmp_recv,51
86 R,2,CURRENT_icmp_sent,8
86 R,2,CURRENT_icmp_recv,23
109 R,2,CURRENT_icmp_sent,18
15 R,2,CURRENT_icmp_sent,7
109 R,2,CURRENT_icmp_recv,26
38 R,2,CURRENT_icmp_sent,89
15 R,2,CURRENT_icmp_recv,50
38 R,2,CURRENT_icmp_recv,142
61 R,2,CURRENT_icmp_sent,42
61 R,2,CURRENT_icmp_recv,89
3 R,2,CURRENT_icmp_sent,36
3 R,2,CURRENT_icmp_recv,77
116 R,2,CURRENT_icmp_sent,10
116 R,2,CURRENT_icmp_recv,23
23 R,2,CURRENT_icmp_sent,292
23 R,2,CURRENT_icmp_recv,310
