NODE,TIME,DATA TYPE,VALUES
"10	R",1,TOTAL_icmp_sent,28
"10	R",1,TOTAL_icmp_recv,91
"13	R",1,TOTAL_icmp_sent,15
"13	R",1,TOTAL_icmp_recv,75
"2	R",1,TOTAL_icmp_sent,14
"2	R",1,TOTAL_icmp_recv,29
"8	R",1,TOTAL_icmp_sent,14
"8	R",1,TOTAL_icmp_recv,75
"20	R",1,TOTAL_icmp_sent,16
"20	R",1,TOTAL_icmp_recv,52
"4	R",1,TOTAL_icmp_sent,13
"4	R",1,TOTAL_icmp_recv,32
"9	R",1,TOTAL_icmp_sent,19
"9	R",1,TOTAL_icmp_recv,55
"16	R",1,TOTAL_icmp_sent,16
"16	R",1,TOTAL_icmp_recv,58
"17	R",1,TOTAL_icmp_sent,14
"17	R",1,TOTAL_icmp_recv,72
"22	R",1,TOTAL_icmp_sent,14
"18	R",1,TOTAL_icmp_sent,13
"22	R",1,TOTAL_icmp_recv,40
"18	R",1,TOTAL_icmp_recv,39
"12	R",1,TOTAL_icmp_sent,16
"12	R",1,TOTAL_icmp_recv,64
"14	R",1,TOTAL_icmp_sent,22
"14	R",1,TOTAL_icmp_recv,100
"11	R",1,TOTAL_icmp_sent,17
"11	R",1,TOTAL_icmp_recv,20
"6	R",1,TOTAL_icmp_sent,28
"6	R",1,TOTAL_icmp_recv,56
"21	R",1,TOTAL_icmp_sent,36
"21	R",1,TOTAL_icmp_recv,83
"19	R",1,TOTAL_icmp_sent,13
"19	R",1,TOTAL_icmp_recv,54
"15	R",1,TOTAL_icmp_sent,15
"15	R",1,TOTAL_icmp_recv,51
"3	R",1,TOTAL_icmp_sent,21
"23	R",1,TOTAL_icmp_sent,14
"3	R",1,TOTAL_icmp_recv,56
"23	R",1,TOTAL_icmp_recv,18
"10	R",2,TOTAL_icmp_sent,51
"10	R",2,TOTAL_icmp_recv,113
"13	R",2,TOTAL_icmp_sent,19
"13	R",2,TOTAL_icmp_recv,99
"2	R",2,TOTAL_icmp_sent,18
"2	R",2,TOTAL_icmp_recv,34
"8	R",2,TOTAL_icmp_sent,18
"8	R",2,TOTAL_icmp_recv,95
"20	R",2,TOTAL_icmp_sent,20
"20	R",2,TOTAL_icmp_recv,66
"4	R",2,TOTAL_icmp_sent,18
"4	R",2,TOTAL_icmp_recv,39
"9	R",2,TOTAL_icmp_sent,24
"9	R",2,TOTAL_icmp_recv,68
"16	R",2,TOTAL_icmp_sent,22
"16	R",2,TOTAL_icmp_recv,73
"17	R",2,TOTAL_icmp_sent,19
"17	R",2,TOTAL_icmp_recv,93
"22	R",2,TOTAL_icmp_sent,18
"18	R",2,TOTAL_icmp_sent,18
"22	R",2,TOTAL_icmp_recv,51
"18	R",2,TOTAL_icmp_recv,51
"12	R",2,TOTAL_icmp_sent,20
"12	R",2,TOTAL_icmp_recv,80
"14	R",2,TOTAL_icmp_sent,39
"14	R",2,TOTAL_icmp_recv,137
"11	R",2,TOTAL_icmp_sent,20
"11	R",2,TOTAL_icmp_recv,23
"6	R",2,TOTAL_icmp_sent,39
"6	R",2,TOTAL_icmp_recv,69
"21	R",2,TOTAL_icmp_sent,48
"21	R",2,TOTAL_icmp_recv,102
"19	R",2,TOTAL_icmp_sent,19
"19	R",2,TOTAL_icmp_recv,67
"15	R",2,TOTAL_icmp_sent,22
"15	R",2,TOTAL_icmp_recv,66
"3	R",2,TOTAL_icmp_sent,30
"3	R",2,TOTAL_icmp_recv,67
"23	R",2,TOTAL_icmp_sent,19
"23	R",2,TOTAL_icmp_recv,21
"10	R",3,TOTAL_icmp_sent,60
"10	R",3,TOTAL_icmp_recv,123
"13	R",3,TOTAL_icmp_sent,22
"13	R",3,TOTAL_icmp_recv,110
"2	R",3,TOTAL_icmp_sent,22
"2	R",3,TOTAL_icmp_recv,38
"8	R",3,TOTAL_icmp_sent,22
"8	R",3,TOTAL_icmp_recv,111
"20	R",3,TOTAL_icmp_sent,25
"20	R",3,TOTAL_icmp_recv,77
"4	R",3,TOTAL_icmp_sent,23
"4	R",3,TOTAL_icmp_recv,48
"9	R",3,TOTAL_icmp_sent,27
"9	R",3,TOTAL_icmp_recv,74
"16	R",3,TOTAL_icmp_sent,27
"16	R",3,TOTAL_icmp_recv,82
"17	R",3,TOTAL_icmp_sent,23
"17	R",3,TOTAL_icmp_recv,101
"22	R",3,TOTAL_icmp_sent,22
"18	R",3,TOTAL_icmp_sent,23
"22	R",3,TOTAL_icmp_recv,54
"18	R",3,TOTAL_icmp_recv,54
"12	R",3,TOTAL_icmp_sent,27
"12	R",3,TOTAL_icmp_recv,89
"14	R",3,TOTAL_icmp_sent,54
"14	R",3,TOTAL_icmp_recv,168
"11	R",3,TOTAL_icmp_sent,24
"11	R",3,TOTAL_icmp_recv,25
"6	R",3,TOTAL_icmp_sent,45
"6	R",3,TOTAL_icmp_recv,80
"21	R",3,TOTAL_icmp_sent,56
"21	R",3,TOTAL_icmp_recv,107
"19	R",3,TOTAL_icmp_sent,23
"19	R",3,TOTAL_icmp_recv,72
"15	R",3,TOTAL_icmp_sent,25
"15	R",3,TOTAL_icmp_recv,72
"3	R",3,TOTAL_icmp_sent,43
"3	R",3,TOTAL_icmp_recv,73
"23	R",3,TOTAL_icmp_sent,24
"23	R",3,TOTAL_icmp_recv,28
"10	R",4,TOTAL_icmp_sent,64
"10	R",4,TOTAL_icmp_recv,134
"13	R",4,TOTAL_icmp_sent,26
"13	R",4,TOTAL_icmp_recv,120
"2	R",4,TOTAL_icmp_sent,26
"2	R",4,TOTAL_icmp_recv,45
"8	R",4,TOTAL_icmp_sent,26
"8	R",4,TOTAL_icmp_recv,122
"20	R",4,TOTAL_icmp_sent,30
"20	R",4,TOTAL_icmp_recv,84
"4	R",4,TOTAL_icmp_sent,29
"4	R",4,TOTAL_icmp_recv,52
"9	R",4,TOTAL_icmp_sent,32
"9	R",4,TOTAL_icmp_recv,81
"16	R",4,TOTAL_icmp_sent,30
"16	R",4,TOTAL_icmp_recv,96
"17	R",4,TOTAL_icmp_sent,29
"17	R",4,TOTAL_icmp_recv,111
"22	R",4,TOTAL_icmp_sent,27
"18	R",4,TOTAL_icmp_sent,25
"22	R",4,TOTAL_icmp_recv,60
"18	R",4,TOTAL_icmp_recv,59
"12	R",4,TOTAL_icmp_sent,30
"12	R",4,TOTAL_icmp_recv,99
"14	R",4,TOTAL_icmp_sent,68
"14	R",4,TOTAL_icmp_recv,192
"11	R",4,TOTAL_icmp_sent,29
"11	R",4,TOTAL_icmp_recv,30
"6	R",4,TOTAL_icmp_sent,54
"6	R",4,TOTAL_icmp_recv,86
"21	R",4,TOTAL_icmp_sent,63
"21	R",4,TOTAL_icmp_recv,115
"19	R",4,TOTAL_icmp_sent,27
"19	R",4,TOTAL_icmp_recv,81
"15	R",4,TOTAL_icmp_sent,30
"15	R",4,TOTAL_icmp_recv,76
"3	R",4,TOTAL_icmp_sent,50
"3	R",4,TOTAL_icmp_recv,80
"23	R",4,TOTAL_icmp_sent,28
"23	R",4,TOTAL_icmp_recv,30
