NODE,TIME,DATA TYPE,VALUES
"2	R",1,TOTAL_icmp_sent,15
"2	R",1,TOTAL_icmp_recv,8
"8	R",1,TOTAL_icmp_sent,16
"8	R",1,TOTAL_icmp_recv,21
"4	R",1,TOTAL_icmp_sent,17
"4	R",1,TOTAL_icmp_recv,22
"6	R",1,TOTAL_icmp_sent,27
"6	R",1,TOTAL_icmp_recv,34
"3	R",1,TOTAL_icmp_sent,22
"3	R",1,TOTAL_icmp_recv,28
"2	R",2,TOTAL_icmp_sent,19
"2	R",2,TOTAL_icmp_recv,11
"8	R",2,TOTAL_icmp_sent,21
"8	R",2,TOTAL_icmp_recv,29
"4	R",2,TOTAL_icmp_sent,23
"4	R",2,TOTAL_icmp_recv,28
"6	R",2,TOTAL_icmp_sent,36
"6	R",2,TOTAL_icmp_recv,43
"3	R",2,TOTAL_icmp_sent,31
"3	R",2,TOTAL_icmp_recv,36
"2	R",3,TOTAL_icmp_sent,24
"2	R",3,TOTAL_icmp_recv,14
"8	R",3,TOTAL_icmp_sent,26
"8	R",3,TOTAL_icmp_recv,32
"4	R",3,TOTAL_icmp_sent,29
"4	R",3,TOTAL_icmp_recv,36
"6	R",3,TOTAL_icmp_sent,41
"6	R",3,TOTAL_icmp_recv,47
"3	R",3,TOTAL_icmp_sent,37
"3	R",3,TOTAL_icmp_recv,44
"2	R",4,TOTAL_icmp_sent,28
"2	R",4,TOTAL_icmp_recv,17
"8	R",4,TOTAL_icmp_sent,30
"8	R",4,TOTAL_icmp_recv,36
"4	R",4,TOTAL_icmp_sent,34
"4	R",4,TOTAL_icmp_recv,40
"6	R",4,TOTAL_icmp_sent,48
"6	R",4,TOTAL_icmp_recv,53
"3	R",4,TOTAL_icmp_sent,41
"3	R",4,TOTAL_icmp_recv,50
"2	R",5,TOTAL_icmp_sent,32
"2	R",5,TOTAL_icmp_recv,19
"8	R",5,TOTAL_icmp_sent,34
"8	R",5,TOTAL_icmp_recv,40
"4	R",5,TOTAL_icmp_sent,39
"4	R",5,TOTAL_icmp_recv,45
"6	R",5,TOTAL_icmp_sent,55
"6	R",5,TOTAL_icmp_recv,57
"3	R",5,TOTAL_icmp_sent,47
"3	R",5,TOTAL_icmp_recv,56
"2	R",6,TOTAL_icmp_sent,36
"2	R",6,TOTAL_icmp_recv,21
"8	R",6,TOTAL_icmp_sent,38
"8	R",6,TOTAL_icmp_recv,43
"4	R",6,TOTAL_icmp_sent,45
"4	R",6,TOTAL_icmp_recv,51
"6	R",6,TOTAL_icmp_sent,62
"6	R",6,TOTAL_icmp_recv,64
"3	R",6,TOTAL_icmp_sent,54
"3	R",6,TOTAL_icmp_recv,63
"2	R",7,TOTAL_icmp_sent,40
"2	R",7,TOTAL_icmp_recv,23
"8	R",7,TOTAL_icmp_sent,40
"8	R",7,TOTAL_icmp_recv,47
"4	R",7,TOTAL_icmp_sent,49
"4	R",7,TOTAL_icmp_recv,57
"6	R",7,TOTAL_icmp_sent,67
"6	R",7,TOTAL_icmp_recv,66
"3	R",7,TOTAL_icmp_sent,59
"3	R",7,TOTAL_icmp_recv,68
"2	R",8,TOTAL_icmp_sent,44
"2	R",8,TOTAL_icmp_recv,26
"8	R",8,TOTAL_icmp_sent,42
"8	R",8,TOTAL_icmp_recv,50
"4	R",8,TOTAL_icmp_sent,54
"4	R",8,TOTAL_icmp_recv,63
"6	R",8,TOTAL_icmp_sent,73
"6	R",8,TOTAL_icmp_recv,70
"3	R",8,TOTAL_icmp_sent,65
"3	R",8,TOTAL_icmp_recv,71
"2	R",9,TOTAL_icmp_sent,48
"2	R",9,TOTAL_icmp_recv,30
"8	R",9,TOTAL_icmp_sent,47
"8	R",9,TOTAL_icmp_recv,54
"4	R",9,TOTAL_icmp_sent,60
"4	R",9,TOTAL_icmp_recv,68
"6	R",9,TOTAL_icmp_sent,80
"6	R",9,TOTAL_icmp_recv,75
"3	R",9,TOTAL_icmp_sent,71
"3	R",9,TOTAL_icmp_recv,78
"2	R",10,TOTAL_icmp_sent,52
"2	R",10,TOTAL_icmp_recv,32
"8	R",10,TOTAL_icmp_sent,51
"8	R",10,TOTAL_icmp_recv,57
"4	R",10,TOTAL_icmp_sent,64
"4	R",10,TOTAL_icmp_recv,74
"6	R",10,TOTAL_icmp_sent,86
"6	R",10,TOTAL_icmp_recv,81
"3	R",10,TOTAL_icmp_sent,77
"3	R",10,TOTAL_icmp_recv,82
"2	R",11,TOTAL_icmp_sent,55
"2	R",11,TOTAL_icmp_recv,34
"8	R",11,TOTAL_icmp_sent,54
"8	R",11,TOTAL_icmp_recv,61
"4	R",11,TOTAL_icmp_sent,67
"4	R",11,TOTAL_icmp_recv,78
"6	R",11,TOTAL_icmp_sent,92
"6	R",11,TOTAL_icmp_recv,85
"3	R",11,TOTAL_icmp_sent,81
"3	R",11,TOTAL_icmp_recv,85
"2	R",12,TOTAL_icmp_sent,59
"2	R",12,TOTAL_icmp_recv,38
"8	R",12,TOTAL_icmp_sent,58
"8	R",12,TOTAL_icmp_recv,62
"4	R",12,TOTAL_icmp_sent,75
"4	R",12,TOTAL_icmp_recv,83
"6	R",12,TOTAL_icmp_sent,100
"6	R",12,TOTAL_icmp_recv,91
"3	R",12,TOTAL_icmp_sent,88
"3	R",12,TOTAL_icmp_recv,92
"2	R",13,TOTAL_icmp_sent,64
"2	R",13,TOTAL_icmp_recv,40
"8	R",13,TOTAL_icmp_sent,63
"8	R",13,TOTAL_icmp_recv,67
"4	R",13,TOTAL_icmp_sent,79
"4	R",13,TOTAL_icmp_recv,90
"6	R",13,TOTAL_icmp_sent,105
"6	R",13,TOTAL_icmp_recv,98
"3	R",13,TOTAL_icmp_sent,93
"3	R",13,TOTAL_icmp_recv,97
"2	R",14,TOTAL_icmp_sent,68
