NODE,TIME,DATA TYPE,VALUES
"2	R",1,CURRENT_icmp_sent,15
"2	R",1,CURRENT_icmp_recv,8
"8	R",1,CURRENT_icmp_sent,16
"8	R",1,CURRENT_icmp_recv,21
"4	R",1,CURRENT_icmp_sent,17
"4	R",1,CURRENT_icmp_recv,22
"6	R",1,CURRENT_icmp_sent,27
"6	R",1,CURRENT_icmp_recv,34
"3	R",1,CURRENT_icmp_sent,22
"3	R",1,CURRENT_icmp_recv,28
"2	R",2,CURRENT_icmp_sent,4
"2	R",2,CURRENT_icmp_recv,3
"8	R",2,CURRENT_icmp_sent,5
"8	R",2,CURRENT_icmp_recv,8
"4	R",2,CURRENT_icmp_sent,6
"4	R",2,CURRENT_icmp_recv,6
"6	R",2,CURRENT_icmp_sent,9
"6	R",2,CURRENT_icmp_recv,9
"3	R",2,CURRENT_icmp_sent,9
"3	R",2,CURRENT_icmp_recv,8
"2	R",3,CURRENT_icmp_sent,5
"2	R",3,CURRENT_icmp_recv,3
"8	R",3,CURRENT_icmp_sent,3
"8	R",3,CURRENT_icmp_recv,3
"4	R",3,CURRENT_icmp_sent,6
"4	R",3,CURRENT_icmp_recv,8
"6	R",3,CURRENT_icmp_sent,5
"6	R",3,CURRENT_icmp_recv,3
"3	R",3,CURRENT_icmp_sent,6
"3	R",3,CURRENT_icmp_recv,7
"2	R",4,CURRENT_icmp_sent,4
"2	R",4,CURRENT_icmp_recv,3
"8	R",4,CURRENT_icmp_sent,5
"8	R",4,CURRENT_icmp_recv,4
"4	R",4,CURRENT_icmp_sent,5
"4	R",4,CURRENT_icmp_recv,4
"6	R",4,CURRENT_icmp_sent,7
"6	R",4,CURRENT_icmp_recv,6
"3	R",4,CURRENT_icmp_sent,4
"3	R",4,CURRENT_icmp_recv,7
"2	R",5,CURRENT_icmp_sent,4
"2	R",5,CURRENT_icmp_recv,2
"8	R",5,CURRENT_icmp_sent,3
"8	R",5,CURRENT_icmp_recv,4
"4	R",5,CURRENT_icmp_sent,5
"4	R",5,CURRENT_icmp_recv,5
"6	R",5,CURRENT_icmp_sent,7
"6	R",5,CURRENT_icmp_recv,4
"3	R",5,CURRENT_icmp_sent,6
"3	R",5,CURRENT_icmp_recv,5
"2	R",6,CURRENT_icmp_sent,4
"2	R",6,CURRENT_icmp_recv,2
"8	R",6,CURRENT_icmp_sent,3
"8	R",6,CURRENT_icmp_recv,3
"4	R",6,CURRENT_icmp_sent,6
"4	R",6,CURRENT_icmp_recv,6
"6	R",6,CURRENT_icmp_sent,7
"6	R",6,CURRENT_icmp_recv,7
"3	R",6,CURRENT_icmp_sent,7
"3	R",6,CURRENT_icmp_recv,7
"2	R",7,CURRENT_icmp_sent,4
"2	R",7,CURRENT_icmp_recv,2
"8	R",7,CURRENT_icmp_sent,5
"8	R",7,CURRENT_icmp_recv,4
"4	R",7,CURRENT_icmp_sent,4
"4	R",7,CURRENT_icmp_recv,6
"6	R",7,CURRENT_icmp_sent,5
"6	R",7,CURRENT_icmp_recv,4
"3	R",7,CURRENT_icmp_sent,5
"3	R",7,CURRENT_icmp_recv,6
"2	R",8,CURRENT_icmp_sent,4
"2	R",8,CURRENT_icmp_recv,3
"8	R",8,CURRENT_icmp_sent,2
"8	R",8,CURRENT_icmp_recv,3
"4	R",8,CURRENT_icmp_sent,5
"4	R",8,CURRENT_icmp_recv,6
"6	R",8,CURRENT_icmp_sent,6
"6	R",8,CURRENT_icmp_recv,4
"3	R",8,CURRENT_icmp_sent,6
"3	R",8,CURRENT_icmp_recv,4
"2	R",9,CURRENT_icmp_sent,4
"2	R",9,CURRENT_icmp_recv,4
"8	R",9,CURRENT_icmp_sent,4
"8	R",9,CURRENT_icmp_recv,4
"4	R",9,CURRENT_icmp_sent,6
"4	R",9,CURRENT_icmp_recv,5
"6	R",9,CURRENT_icmp_sent,7
"6	R",9,CURRENT_icmp_recv,5
"3	R",9,CURRENT_icmp_sent,6
"3	R",9,CURRENT_icmp_recv,5
"2	R",10,CURRENT_icmp_sent,4
"2	R",10,CURRENT_icmp_recv,2
"8	R",10,CURRENT_icmp_sent,5
"8	R",10,CURRENT_icmp_recv,3
"4	R",10,CURRENT_icmp_sent,4
"4	R",10,CURRENT_icmp_recv,6
"6	R",10,CURRENT_icmp_sent,6
"6	R",10,CURRENT_icmp_recv,6
