NODE,TIME,DATA TYPE,VALUES
78 R,1,CURRENT_icmp_sent,20
78 R,1,CURRENT_icmp_recv,51
71 R,1,CURRENT_icmp_sent,15
71 R,1,CURRENT_icmp_recv,23
41 R,1,CURRENT_icmp_sent,16
36 R,1,CURRENT_icmp_sent,14
41 R,1,CURRENT_icmp_recv,28
36 R,1,CURRENT_icmp_recv,14
26 R,1,CURRENT_icmp_sent,21
26 R,1,CURRENT_icmp_recv,42
72 R,1,CURRENT_icmp_sent,14
72 R,1,CURRENT_icmp_recv,34
87 R,1,CURRENT_icmp_sent,13
87 R,1,CURRENT_icmp_recv,17
10 R,1,CURRENT_icmp_sent,16
10 R,1,CURRENT_icmp_recv,22
69 R,1,CURRENT_icmp_sent,21
69 R,1,CURRENT_icmp_recv,44
50 R,1,CURRENT_icmp_sent,14
50 R,1,CURRENT_icmp_recv,36
81 R,1,CURRENT_icmp_sent,14
62 R,1,CURRENT_icmp_sent,12
81 R,1,CURRENT_icmp_recv,48
62 R,1,CURRENT_icmp_recv,31
30 R,1,CURRENT_icmp_sent,12
30 R,1,CURRENT_icmp_recv,15
57 R,1,CURRENT_icmp_sent,16
52 R,1,CURRENT_icmp_sent,103
57 R,1,CURRENT_icmp_recv,45
52 R,1,CURRENT_icmp_recv,164
91 R,1,CURRENT_icmp_sent,13
13 R,1,CURRENT_icmp_sent,27
91 R,1,CURRENT_icmp_recv,15
13 R,1,CURRENT_icmp_recv,69
33 R,1,CURRENT_icmp_sent,20
33 R,1,CURRENT_icmp_recv,54
37 R,1,CURRENT_icmp_sent,15
37 R,1,CURRENT_icmp_recv,20
90 R,1,CURRENT_icmp_sent,16
56 R,1,CURRENT_icmp_sent,13
90 R,1,CURRENT_icmp_recv,45
56 R,1,CURRENT_icmp_recv,31
47 R,1,CURRENT_icmp_sent,20
46 R,1,CURRENT_icmp_sent,14
47 R,1,CURRENT_icmp_recv,57
46 R,1,CURRENT_icmp_recv,43
74 R,1,CURRENT_icmp_sent,18
74 R,1,CURRENT_icmp_recv,49
2 R,1,CURRENT_icmp_sent,51
32 R,1,CURRENT_icmp_sent,12
2 R,1,CURRENT_icmp_recv,86
32 R,1,CURRENT_icmp_recv,24
8 R,1,CURRENT_icmp_sent,16
83 R,1,CURRENT_icmp_sent,13
8 R,1,CURRENT_icmp_recv,20
83 R,1,CURRENT_icmp_recv,22
79 R,1,CURRENT_icmp_sent,19
79 R,1,CURRENT_icmp_recv,39
88 R,1,CURRENT_icmp_sent,15
88 R,1,CURRENT_icmp_recv,28
67 R,1,CURRENT_icmp_sent,16
67 R,1,CURRENT_icmp_recv,20
70 R,1,CURRENT_icmp_sent,14
70 R,1,CURRENT_icmp_recv,32
20 R,1,CURRENT_icmp_sent,16
20 R,1,CURRENT_icmp_recv,44
65 R,1,CURRENT_icmp_sent,24
65 R,1,CURRENT_icmp_recv,60
4 R,1,CURRENT_icmp_sent,26
4 R,1,CURRENT_icmp_recv,50
35 R,1,CURRENT_icmp_sent,14
35 R,1,CURRENT_icmp_recv,17
43 R,1,CURRENT_icmp_sent,17
29 R,1,CURRENT_icmp_sent,36
43 R,1,CURRENT_icmp_recv,41
29 R,1,CURRENT_icmp_recv,64
66 R,1,CURRENT_icmp_sent,32
66 R,1,CURRENT_icmp_recv,65
9 R,1,CURRENT_icmp_sent,15
9 R,1,CURRENT_icmp_recv,41
42 R,1,CURRENT_icmp_sent,18
42 R,1,CURRENT_icmp_recv,32
55 R,1,CURRENT_icmp_sent,14
49 R,1,CURRENT_icmp_sent,16
55 R,1,CURRENT_icmp_recv,15
68 R,1,CURRENT_icmp_sent,52
49 R,1,CURRENT_icmp_recv,45
68 R,1,CURRENT_icmp_recv,98
63 R,1,CURRENT_icmp_sent,14
63 R,1,CURRENT_icmp_recv,30
16 R,1,CURRENT_icmp_sent,19
16 R,1,CURRENT_icmp_recv,40
17 R,1,CURRENT_icmp_sent,14
17 R,1,CURRENT_icmp_recv,21
48 R,1,CURRENT_icmp_sent,26
48 R,1,CURRENT_icmp_recv,45
27 R,1,CURRENT_icmp_sent,57
80 R,1,CURRENT_icmp_sent,20
27 R,1,CURRENT_icmp_recv,81
22 R,1,CURRENT_icmp_sent,18
80 R,1,CURRENT_icmp_recv,40
18 R,1,CURRENT_icmp_sent,13
39 R,1,CURRENT_icmp_sent,14
22 R,1,CURRENT_icmp_recv,47
18 R,1,CURRENT_icmp_recv,55
39 R,1,CURRENT_icmp_recv,37
64 R,1,CURRENT_icmp_sent,25
64 R,1,CURRENT_icmp_recv,58
60 R,1,CURRENT_icmp_sent,16
60 R,1,CURRENT_icmp_recv,40
54 R,1,CURRENT_icmp_sent,23
54 R,1,CURRENT_icmp_recv,48
12 R,1,CURRENT_icmp_sent,15
12 R,1,CURRENT_icmp_recv,45
76 R,1,CURRENT_icmp_sent,33
76 R,1,CURRENT_icmp_recv,64
73 R,1,CURRENT_icmp_sent,19
73 R,1,CURRENT_icmp_recv,35
