NODE,TIME,DATA TYPE,VALUES
10R,1,CURRENT_icmp_sent,32
10R,1,CURRENT_icmp_recv,48
13R,1,CURRENT_icmp_sent,37
13R,1,CURRENT_icmp_recv,43
2R,1,CURRENT_icmp_sent,15
2R,1,CURRENT_icmp_recv,20
8R,1,CURRENT_icmp_sent,16
8R,1,CURRENT_icmp_recv,29
4R,1,CURRENT_icmp_sent,16
4R,1,CURRENT_icmp_recv,26
9R,1,CURRENT_icmp_sent,17
9R,1,CURRENT_icmp_recv,35
12R,1,CURRENT_icmp_sent,15
12R,1,CURRENT_icmp_recv,35
11R,1,CURRENT_icmp_sent,15
11R,1,CURRENT_icmp_recv,21
6R,1,CURRENT_icmp_sent,27
6R,1,CURRENT_icmp_recv,32
3R,1,CURRENT_icmp_sent,22
3R,1,CURRENT_icmp_recv,28
10R,2,CURRENT_icmp_sent,8
10R,2,CURRENT_icmp_recv,7
13R,2,CURRENT_icmp_sent,9
13R,2,CURRENT_icmp_recv,10
2R,2,CURRENT_icmp_sent,4
2R,2,CURRENT_icmp_recv,4
8R,2,CURRENT_icmp_sent,4
8R,2,CURRENT_icmp_recv,11
4R,2,CURRENT_icmp_sent,5
4R,2,CURRENT_icmp_recv,5
9R,2,CURRENT_icmp_sent,4
9R,2,CURRENT_icmp_recv,10
12R,2,CURRENT_icmp_sent,4
12R,2,CURRENT_icmp_recv,10
11R,2,CURRENT_icmp_sent,4
11R,2,CURRENT_icmp_recv,3
6R,2,CURRENT_icmp_sent,9
6R,2,CURRENT_icmp_recv,7
3R,2,CURRENT_icmp_sent,9
3R,2,CURRENT_icmp_recv,6
10R,3,CURRENT_icmp_sent,8
10R,3,CURRENT_icmp_recv,7
13R,3,CURRENT_icmp_sent,8
13R,3,CURRENT_icmp_recv,5
2R,3,CURRENT_icmp_sent,4
2R,3,CURRENT_icmp_recv,4
8R,3,CURRENT_icmp_sent,3
8R,3,CURRENT_icmp_recv,4
4R,3,CURRENT_icmp_sent,5
4R,3,CURRENT_icmp_recv,8
9R,3,CURRENT_icmp_sent,4
9R,3,CURRENT_icmp_recv,3
12R,3,CURRENT_icmp_sent,5
12R,3,CURRENT_icmp_recv,11
11R,3,CURRENT_icmp_sent,3
11R,3,CURRENT_icmp_recv,4
6R,3,CURRENT_icmp_sent,5
6R,3,CURRENT_icmp_recv,6
3R,3,CURRENT_icmp_sent,6
3R,3,CURRENT_icmp_recv,3
10R,4,CURRENT_icmp_sent,7
10R,4,CURRENT_icmp_recv,7
13R,4,CURRENT_icmp_sent,10
13R,4,CURRENT_icmp_recv,8
2R,4,CURRENT_icmp_sent,6
2R,4,CURRENT_icmp_recv,4
8R,4,CURRENT_icmp_sent,5
8R,4,CURRENT_icmp_recv,7
4R,4,CURRENT_icmp_sent,5
4R,4,CURRENT_icmp_recv,2
9R,4,CURRENT_icmp_sent,3
9R,4,CURRENT_icmp_recv,6
12R,4,CURRENT_icmp_sent,3
12R,4,CURRENT_icmp_recv,8
11R,4,CURRENT_icmp_sent,5
11R,4,CURRENT_icmp_recv,2
6R,4,CURRENT_icmp_sent,7
6R,4,CURRENT_icmp_recv,6
3R,4,CURRENT_icmp_sent,4
3R,4,CURRENT_icmp_recv,7
10R,5,CURRENT_icmp_sent,6
10R,5,CURRENT_icmp_recv,4
13R,5,CURRENT_icmp_sent,6
13R,5,CURRENT_icmp_recv,5
2R,5,CURRENT_icmp_sent,4
2R,5,CURRENT_icmp_recv,0
8R,5,CURRENT_icmp_sent,3
8R,5,CURRENT_icmp_recv,5
4R,5,CURRENT_icmp_sent,4
4R,5,CURRENT_icmp_recv,2
9R,5,CURRENT_icmp_sent,4
9R,5,CURRENT_icmp_recv,5
12R,5,CURRENT_icmp_sent,4
12R,5,CURRENT_icmp_recv,8
11R,5,CURRENT_icmp_sent,3
11R,5,CURRENT_icmp_recv,3
6R,5,CURRENT_icmp_sent,7
6R,5,CURRENT_icmp_recv,3
3R,5,CURRENT_icmp_sent,6
3R,5,CURRENT_icmp_recv,3
10R,6,CURRENT_icmp_sent,8
10R,6,CURRENT_icmp_recv,7
13R,6,CURRENT_icmp_sent,10
13R,6,CURRENT_icmp_recv,7
2R,6,CURRENT_icmp_sent,5
2R,6,CURRENT_icmp_recv,5
8R,6,CURRENT_icmp_sent,6
8R,6,CURRENT_icmp_recv,6
4R,6,CURRENT_icmp_sent,8
4R,6,CURRENT_icmp_recv,6
9R,6,CURRENT_icmp_sent,3
9R,6,CURRENT_icmp_recv,6
12R,6,CURRENT_icmp_sent,4
12R,6,CURRENT_icmp_recv,7
11R,6,CURRENT_icmp_sent,5
11R,6,CURRENT_icmp_recv,3
6R,6,CURRENT_icmp_sent,8
6R,6,CURRENT_icmp_recv,10
3R,6,CURRENT_icmp_sent,8
3R,6,CURRENT_icmp_recv,9
10R,7,CURRENT_icmp_sent,7
10R,7,CURRENT_icmp_recv,7
13R,7,CURRENT_icmp_sent,9
13R,7,CURRENT_icmp_recv,6
2R,7,CURRENT_icmp_sent,5
2R,7,CURRENT_icmp_recv,4
8R,7,CURRENT_icmp_sent,3
8R,7,CURRENT_icmp_recv,5
4R,7,CURRENT_icmp_sent,4
4R,7,CURRENT_icmp_recv,4
9R,7,CURRENT_icmp_sent,4
9R,7,CURRENT_icmp_recv,4
12R,7,CURRENT_icmp_sent,4
12R,7,CURRENT_icmp_recv,9
11R,7,CURRENT_icmp_sent,4
11R,7,CURRENT_icmp_recv,3
6R,7,CURRENT_icmp_sent,5
6R,7,CURRENT_icmp_recv,1
3R,7,CURRENT_icmp_sent,5
3R,7,CURRENT_icmp_recv,4
10R,8,CURRENT_icmp_sent,6
10R,8,CURRENT_icmp_recv,3
13R,8,CURRENT_icmp_sent,6
13R,8,CURRENT_icmp_recv,3
2R,8,CURRENT_icmp_sent,4
2R,8,CURRENT_icmp_recv,3
8R,8,CURRENT_icmp_sent,4
8R,8,CURRENT_icmp_recv,4
4R,8,CURRENT_icmp_sent,5
4R,8,CURRENT_icmp_recv,5
9R,8,CURRENT_icmp_sent,5
9R,8,CURRENT_icmp_recv,3
12R,8,CURRENT_icmp_sent,3
12R,8,CURRENT_icmp_recv,5
11R,8,CURRENT_icmp_sent,2
11R,8,CURRENT_icmp_recv,4
6R,8,CURRENT_icmp_sent,6
6R,8,CURRENT_icmp_recv,4
3R,8,CURRENT_icmp_sent,6
3R,8,CURRENT_icmp_recv,5
10R,9,CURRENT_icmp_sent,8
10R,9,CURRENT_icmp_recv,5
13R,9,CURRENT_icmp_sent,8
13R,9,CURRENT_icmp_recv,7
2R,9,CURRENT_icmp_sent,3
2R,9,CURRENT_icmp_recv,4
8R,9,CURRENT_icmp_sent,2
8R,9,CURRENT_icmp_recv,6
4R,9,CURRENT_icmp_sent,4
4R,9,CURRENT_icmp_recv,3
9R,9,CURRENT_icmp_sent,4
9R,9,CURRENT_icmp_recv,7
12R,9,CURRENT_icmp_sent,4
12R,9,CURRENT_icmp_recv,8
11R,9,CURRENT_icmp_sent,5
11R,9,CURRENT_icmp_recv,2
6R,9,CURRENT_icmp_sent,6
6R,9,CURRENT_icmp_recv,2
3R,9,CURRENT_icmp_sent,5
3R,9,CURRENT_icmp_recv,4
10R,10,CURRENT_icmp_sent,5
10R,10,CURRENT_icmp_recv,4
13R,10,CURRENT_icmp_sent,4
13R,10,CURRENT_icmp_recv,3
2R,10,CURRENT_icmp_sent,3
2R,10,CURRENT_icmp_recv,3
8R,10,CURRENT_icmp_sent,4
8R,10,CURRENT_icmp_recv,3
4R,10,CURRENT_icmp_sent,5
4R,10,CURRENT_icmp_recv,3
9R,10,CURRENT_icmp_sent,3
9R,10,CURRENT_icmp_recv,4
12R,10,CURRENT_icmp_sent,2
12R,10,CURRENT_icmp_recv,5
11R,10,CURRENT_icmp_sent,4
11R,10,CURRENT_icmp_recv,3
6R,10,CURRENT_icmp_sent,6
6R,10,CURRENT_icmp_recv,6
3R,10,CURRENT_icmp_sent,6
3R,10,CURRENT_icmp_recv,4
10R,11,CURRENT_icmp_sent,8
10R,11,CURRENT_icmp_recv,5
13R,11,CURRENT_icmp_sent,10
13R,11,CURRENT_icmp_recv,7
2R,11,CURRENT_icmp_sent,4
2R,11,CURRENT_icmp_recv,2
8R,11,CURRENT_icmp_sent,4
8R,11,CURRENT_icmp_recv,6
4R,11,CURRENT_icmp_sent,5
4R,11,CURRENT_icmp_recv,3
9R,11,CURRENT_icmp_sent,3
9R,11,CURRENT_icmp_recv,5
12R,11,CURRENT_icmp_sent,4
12R,11,CURRENT_icmp_recv,6
11R,11,CURRENT_icmp_sent,4
11R,11,CURRENT_icmp_recv,2
6R,11,CURRENT_icmp_sent,8
6R,11,CURRENT_icmp_recv,6
3R,11,CURRENT_icmp_sent,6
3R,11,CURRENT_icmp_recv,4
10R,12,CURRENT_icmp_sent,5
10R,12,CURRENT_icmp_recv,4
13R,12,CURRENT_icmp_sent,8
13R,12,CURRENT_icmp_recv,4
2R,12,CURRENT_icmp_sent,5
2R,12,CURRENT_icmp_recv,4
8R,12,CURRENT_icmp_sent,3
8R,12,CURRENT_icmp_recv,3
4R,12,CURRENT_icmp_sent,6
4R,12,CURRENT_icmp_recv,4
9R,12,CURRENT_icmp_sent,4
9R,12,CURRENT_icmp_recv,4
12R,12,CURRENT_icmp_sent,2
12R,12,CURRENT_icmp_recv,5
11R,12,CURRENT_icmp_sent,3
11R,12,CURRENT_icmp_recv,2
6R,12,CURRENT_icmp_sent,7
6R,12,CURRENT_icmp_recv,4
3R,12,CURRENT_icmp_sent,7
3R,12,CURRENT_icmp_recv,5
10R,13,CURRENT_icmp_sent,6
10R,13,CURRENT_icmp_recv,4
13R,13,CURRENT_icmp_sent,7
13R,13,CURRENT_icmp_recv,6
2R,13,CURRENT_icmp_sent,4
2R,13,CURRENT_icmp_recv,3
8R,13,CURRENT_icmp_sent,4
8R,13,CURRENT_icmp_recv,6
4R,13,CURRENT_icmp_sent,6
4R,13,CURRENT_icmp_recv,6
9R,13,CURRENT_icmp_sent,4
9R,13,CURRENT_icmp_recv,4
12R,13,CURRENT_icmp_sent,4
12R,13,CURRENT_icmp_recv,6
11R,13,CURRENT_icmp_sent,3
11R,13,CURRENT_icmp_recv,4
6R,13,CURRENT_icmp_sent,5
6R,13,CURRENT_icmp_recv,5
3R,13,CURRENT_icmp_sent,5
3R,13,CURRENT_icmp_recv,4
10R,14,CURRENT_icmp_sent,8
10R,14,CURRENT_icmp_recv,8
13R,14,CURRENT_icmp_sent,10
13R,14,CURRENT_icmp_recv,6
2R,14,CURRENT_icmp_sent,4
2R,14,CURRENT_icmp_recv,2
8R,14,CURRENT_icmp_sent,2
8R,14,CURRENT_icmp_recv,6
4R,14,CURRENT_icmp_sent,5
4R,14,CURRENT_icmp_recv,3
9R,14,CURRENT_icmp_sent,4
9R,14,CURRENT_icmp_recv,5
12R,14,CURRENT_icmp_sent,4
12R,14,CURRENT_icmp_recv,8
11R,14,CURRENT_icmp_sent,4
11R,14,CURRENT_icmp_recv,3
6R,14,CURRENT_icmp_sent,8
6R,14,CURRENT_icmp_recv,5
3R,14,CURRENT_icmp_sent,6
3R,14,CURRENT_icmp_recv,6
