NODE,TIME,DATA TYPE,VALUES
"10	R",1,TOTAL_icmp_sent,32
"10	R",1,TOTAL_icmp_recv,48
"13	R",1,TOTAL_icmp_sent,37
"13	R",1,TOTAL_icmp_recv,43
"2	R",1,TOTAL_icmp_sent,15
"2	R",1,TOTAL_icmp_recv,20
"8	R",1,TOTAL_icmp_sent,16
"8	R",1,TOTAL_icmp_recv,29
"4	R",1,TOTAL_icmp_sent,16
"4	R",1,TOTAL_icmp_recv,26
"9	R",1,TOTAL_icmp_sent,17
"9	R",1,TOTAL_icmp_recv,35
"12	R",1,TOTAL_icmp_sent,15
"12	R",1,TOTAL_icmp_recv,35
"11	R",1,TOTAL_icmp_sent,15
"11	R",1,TOTAL_icmp_recv,21
"6	R",1,TOTAL_icmp_sent,27
"6	R",1,TOTAL_icmp_recv,32
"3	R",1,TOTAL_icmp_sent,22
"3	R",1,TOTAL_icmp_recv,28
"10	R",2,TOTAL_icmp_sent,40
"10	R",2,TOTAL_icmp_recv,55
"13	R",2,TOTAL_icmp_sent,46
"13	R",2,TOTAL_icmp_recv,53
"2	R",2,TOTAL_icmp_sent,19
"2	R",2,TOTAL_icmp_recv,24
"8	R",2,TOTAL_icmp_sent,20
"8	R",2,TOTAL_icmp_recv,40
"4	R",2,TOTAL_icmp_sent,21
"4	R",2,TOTAL_icmp_recv,31
"9	R",2,TOTAL_icmp_sent,21
"9	R",2,TOTAL_icmp_recv,45
"12	R",2,TOTAL_icmp_sent,19
"12	R",2,TOTAL_icmp_recv,45
"11	R",2,TOTAL_icmp_sent,19
"11	R",2,TOTAL_icmp_recv,24
"6	R",2,TOTAL_icmp_sent,36
"6	R",2,TOTAL_icmp_recv,39
"3	R",2,TOTAL_icmp_sent,31
"3	R",2,TOTAL_icmp_recv,34
"10	R",3,TOTAL_icmp_sent,48
"10	R",3,TOTAL_icmp_recv,62
"13	R",3,TOTAL_icmp_sent,54
"13	R",3,TOTAL_icmp_recv,58
"2	R",3,TOTAL_icmp_sent,23
"2	R",3,TOTAL_icmp_recv,28
"8	R",3,TOTAL_icmp_sent,23
"8	R",3,TOTAL_icmp_recv,44
"4	R",3,TOTAL_icmp_sent,26
"4	R",3,TOTAL_icmp_recv,39
"9	R",3,TOTAL_icmp_sent,25
"9	R",3,TOTAL_icmp_recv,48
"12	R",3,TOTAL_icmp_sent,24
"12	R",3,TOTAL_icmp_recv,56
"11	R",3,TOTAL_icmp_sent,22
"11	R",3,TOTAL_icmp_recv,28
"6	R",3,TOTAL_icmp_sent,41
"6	R",3,TOTAL_icmp_recv,45
"3	R",3,TOTAL_icmp_sent,37
"3	R",3,TOTAL_icmp_recv,37
"10	R",4,TOTAL_icmp_sent,55
"10	R",4,TOTAL_icmp_recv,69
"13	R",4,TOTAL_icmp_sent,64
"13	R",4,TOTAL_icmp_recv,66
"2	R",4,TOTAL_icmp_sent,29
"2	R",4,TOTAL_icmp_recv,32
"8	R",4,TOTAL_icmp_sent,28
"8	R",4,TOTAL_icmp_recv,51
"4	R",4,TOTAL_icmp_sent,31
"4	R",4,TOTAL_icmp_recv,41
"9	R",4,TOTAL_icmp_sent,28
"9	R",4,TOTAL_icmp_recv,54
