outlier_no,subset_size,subset,node,data type,index_first_element,index_last_element
1,3,"[28, 49, 49]",2,CURRENT_icmp_recv,8,10
2,3,"[48, 49, 49]",2,CURRENT_icmp_recv,9,11
3,3,"[48, 49, 98]",2,CURRENT_icmp_recv,10,12
4,3,"[40, 40, 82]",2,CURRENT_icmp_sent,12,14
5,3,"[40, 40, 42]",2,CURRENT_icmp_sent,13,15
6,3,"[21, 21, 40]",3,CURRENT_icmp_recv,5,7
7,3,"[21, 21, 22]",3,CURRENT_icmp_recv,6,8
8,3,"[40, 42, 126]",3,CURRENT_icmp_recv,17,19
9,3,"[40, 40, 139]",3,CURRENT_icmp_recv,22,24
10,3,"[40, 40, 76]",3,CURRENT_icmp_recv,23,25
11,3,"[33, 77, 77]",3,CURRENT_icmp_sent,25,27
12,3,"[54, 77, 77]",3,CURRENT_icmp_sent,26,28
13,3,"[37, 66, 66]",3,CURRENT_icmp_sent,30,32
14,3,"[43, 89, 89]",4,CURRENT_icmp_recv,13,15
15,3,"[32, 34, 99]",4,CURRENT_icmp_recv,26,28
16,3,"[18, 18, 37]",4,CURRENT_icmp_sent,4,6
17,3,"[11, 11, 19]",4,CURRENT_icmp_sent,8,10
18,3,"[28, 28, 43]",4,CURRENT_icmp_sent,20,22
19,3,"[22, 67, 68]",4,CURRENT_icmp_sent,24,26
20,3,"[22, 22, 68]",4,CURRENT_icmp_sent,25,27
21,3,"[85, 85, 91]",6,CURRENT_icmp_recv,23,25
22,3,"[75, 85, 85]",6,CURRENT_icmp_recv,24,26
23,3,"[8, 11, 11]",6,CURRENT_icmp_sent,4,6
24,3,"[9, 11, 11]",6,CURRENT_icmp_sent,5,7
25,3,"[9, 11, 11]",6,CURRENT_icmp_sent,6,8
26,3,"[35, 35, 40]",6,CURRENT_icmp_sent,29,31
27,3,"[4, 4, 7]",8,CURRENT_icmp_recv,6,8
28,3,"[4, 4, 8]",8,CURRENT_icmp_recv,7,9
29,3,"[44, 59, 59]",8,CURRENT_icmp_recv,27,29
30,3,"[52, 59, 59]",8,CURRENT_icmp_recv,28,30
31,3,"[5, 5, 9]",8,CURRENT_icmp_sent,3,5
32,3,"[4, 5, 5]",8,CURRENT_icmp_sent,6,8
33,3,"[13, 34, 34]",8,CURRENT_icmp_sent,21,23
34,3,"[29, 34, 34]",8,CURRENT_icmp_sent,22,24
35,3,"[23, 23, 41]",8,CURRENT_icmp_sent,31,33
36,3,"[23, 23, 32]",8,CURRENT_icmp_sent,32,34
37,3,"[8, 13, 13]",9,CURRENT_icmp_recv,7,9
38,3,"[8, 13, 13]",9,CURRENT_icmp_recv,8,10
39,3,"[24, 33, 33]",9,CURRENT_icmp_recv,18,20
40,3,"[40, 45, 754]",9,CURRENT_icmp_recv,24,26
41,3,"[4, 4, 9]",9,CURRENT_icmp_sent,4,6
42,3,"[4, 4, 7]",9,CURRENT_icmp_sent,6,8
43,3,"[14, 21, 21]",9,CURRENT_icmp_sent,19,21
44,3,"[21, 21, 34]",9,CURRENT_icmp_sent,20,22
45,3,"[27, 38, 729]",9,CURRENT_icmp_sent,24,26
46,3,"[4, 4, 5]",10,CURRENT_icmp_recv,5,7
47,3,"[33, 33, 50]",10,CURRENT_icmp_recv,26,28
48,3,"[29, 33, 33]",10,CURRENT_icmp_recv,27,29
49,3,"[4, 4, 5]",10,CURRENT_icmp_sent,5,7
50,3,"[3, 3, 4]",10,CURRENT_icmp_sent,9,11
51,3,"[3, 19, 19]",10,CURRENT_icmp_sent,11,13
52,3,"[13, 19, 19]",10,CURRENT_icmp_sent,12,14
53,3,"[21, 21, 24]",10,CURRENT_icmp_sent,19,21
54,3,"[5, 18, 18]",10,CURRENT_icmp_sent,32,34
55,3,"[20, 24, 24]",11,CURRENT_icmp_recv,6,8
56,3,"[58, 79, 79]",11,CURRENT_icmp_recv,22,24
57,3,"[79, 79, 134]",11,CURRENT_icmp_recv,23,25
58,3,"[16, 16, 18]",11,CURRENT_icmp_recv,33,35
59,3,"[18, 19, 99]",11,CURRENT_icmp_sent,17,19
60,3,"[4, 4, 8]",12,CURRENT_icmp_recv,6,8
61,3,"[4, 4, 5]",12,CURRENT_icmp_recv,7,9
62,3,"[4, 5, 5]",12,CURRENT_icmp_recv,8,10
63,3,"[5, 5, 24]",12,CURRENT_icmp_recv,9,11
64,3,"[16, 16, 23]",12,CURRENT_icmp_recv,20,22
65,3,"[16, 16, 46]",12,CURRENT_icmp_recv,21,23
66,3,"[6, 7, 46]",12,CURRENT_icmp_recv,23,25
67,3,"[6, 7, 52]",12,CURRENT_icmp_recv,24,26
68,3,"[3, 3, 6]",12,CURRENT_icmp_recv,29,31
69,3,"[3, 3, 31]",12,CURRENT_icmp_recv,30,32
70,3,"[3, 31, 31]",12,CURRENT_icmp_recv,31,33
71,3,"[31, 31, 34]",12,CURRENT_icmp_recv,32,34
72,3,"[4, 5, 5]",12,CURRENT_icmp_sent,4,6
73,3,"[4, 4, 5]",12,CURRENT_icmp_sent,8,10
74,3,"[5, 5, 17]",12,CURRENT_icmp_sent,11,13
75,3,"[5, 5, 22]",12,CURRENT_icmp_sent,12,14
76,3,"[5, 22, 22]",12,CURRENT_icmp_sent,13,15
77,3,"[4, 22, 22]",12,CURRENT_icmp_sent,14,16
78,3,"[4, 8, 8]",12,CURRENT_icmp_sent,16,18
79,3,"[8, 8, 12]",12,CURRENT_icmp_sent,17,19
80,3,"[13, 13, 29]",12,CURRENT_icmp_sent,25,27
81,3,"[23, 25, 25]",12,CURRENT_icmp_sent,32,34
82,3,"[107, 108, 148]",13,CURRENT_icmp_recv,31,33
83,3,"[5, 5, 7]",13,CURRENT_icmp_sent,6,8
84,3,"[5, 5, 22]",13,CURRENT_icmp_sent,7,9
85,3,"[35, 37, 129]",13,CURRENT_icmp_sent,19,21
86,3,"[65, 65, 97]",14,CURRENT_icmp_recv,21,23
87,3,"[64, 65, 65]",14,CURRENT_icmp_recv,22,24
88,3,"[64, 65, 419]",14,CURRENT_icmp_recv,23,25
89,3,"[74, 75, 110]",14,CURRENT_icmp_recv,30,32
90,3,"[28, 28, 47]",14,CURRENT_icmp_sent,21,23
91,3,"[28, 28, 29]",14,CURRENT_icmp_sent,22,24
92,3,"[28, 29, 388]",14,CURRENT_icmp_sent,23,25
93,3,"[32, 51, 51]",15,CURRENT_icmp_recv,18,20
94,3,"[41, 51, 51]",15,CURRENT_icmp_recv,20,22
95,3,"[21, 21, 34]",15,CURRENT_icmp_recv,29,31
96,3,"[21, 21, 73]",15,CURRENT_icmp_recv,30,32
97,3,"[71, 73, 371]",15,CURRENT_icmp_recv,32,34
98,3,"[4, 4, 5]",15,CURRENT_icmp_sent,3,5
99,3,"[3, 4, 4]",15,CURRENT_icmp_sent,6,8
100,3,"[4, 4, 8]",15,CURRENT_icmp_sent,8,10
101,3,"[27, 27, 28]",15,CURRENT_icmp_sent,27,29
102,3,"[6, 33, 33]",15,CURRENT_icmp_sent,31,33
103,3,"[33, 33, 343]",15,CURRENT_icmp_sent,32,34
104,3,"[9, 9, 11]",16,CURRENT_icmp_recv,3,5
105,3,"[8, 9, 9]",16,CURRENT_icmp_recv,5,7
106,3,"[42, 43, 97]",16,CURRENT_icmp_recv,12,14
107,3,"[44, 44, 80]",16,CURRENT_icmp_recv,20,22
108,3,"[44, 44, 45]",16,CURRENT_icmp_recv,21,23
109,3,"[41, 42, 96]",16,CURRENT_icmp_recv,25,27
110,3,"[41, 42, 84]",16,CURRENT_icmp_recv,26,28
111,3,"[45, 47, 134]",16,CURRENT_icmp_recv,33,35
112,3,"[3, 3, 6]",16,CURRENT_icmp_sent,5,7
113,3,"[3, 3, 5]",16,CURRENT_icmp_sent,6,8
114,3,"[3, 3, 5]",16,CURRENT_icmp_sent,7,9
115,3,"[3, 5, 5]",16,CURRENT_icmp_sent,8,10
116,3,"[14, 21, 21]",16,CURRENT_icmp_sent,11,13
117,3,"[21, 21, 52]",16,CURRENT_icmp_sent,12,14
118,3,"[18, 18, 26]",16,CURRENT_icmp_sent,21,23
119,3,"[18, 26, 26]",16,CURRENT_icmp_sent,22,24
120,3,"[5, 5, 13]",17,CURRENT_icmp_recv,6,8
121,3,"[2, 2, 6]",18,CURRENT_icmp_recv,5,7
122,3,"[2, 2, 6]",18,CURRENT_icmp_recv,6,8
123,3,"[2, 2, 8]",18,CURRENT_icmp_recv,7,9
124,3,"[11, 11, 15]",18,CURRENT_icmp_recv,11,13
125,3,"[8, 9, 9]",18,CURRENT_icmp_recv,22,24
126,3,"[25, 25, 30]",18,CURRENT_icmp_recv,29,31
127,3,"[3, 3, 5]",18,CURRENT_icmp_sent,5,7
128,3,"[3, 3, 9]",18,CURRENT_icmp_sent,7,9
129,3,"[13, 13, 18]",18,CURRENT_icmp_sent,10,12
130,3,"[13, 18, 18]",18,CURRENT_icmp_sent,11,13
131,3,"[4, 4, 6]",18,CURRENT_icmp_sent,15,17
132,3,"[4, 4, 31]",18,CURRENT_icmp_sent,16,18
133,3,"[12, 17, 17]",18,CURRENT_icmp_sent,26,28
134,3,"[9, 17, 17]",18,CURRENT_icmp_sent,27,29
135,3,"[12, 12, 14]",18,CURRENT_icmp_sent,32,34
136,3,"[6, 7, 7]",19,CURRENT_icmp_recv,7,9
137,3,"[6, 7, 42]",19,CURRENT_icmp_recv,8,10
138,3,"[54, 54, 76]",19,CURRENT_icmp_recv,26,28
139,3,"[36, 54, 54]",19,CURRENT_icmp_recv,27,29
140,3,"[43, 49, 49]",19,CURRENT_icmp_recv,33,35
141,3,"[5, 5, 6]",19,CURRENT_icmp_sent,3,5
142,3,"[5, 5, 6]",19,CURRENT_icmp_sent,7,9
143,3,"[24, 24, 86]",19,CURRENT_icmp_sent,14,16
144,3,"[26, 26, 35]",19,CURRENT_icmp_sent,27,29
145,3,"[26, 26, 35]",19,CURRENT_icmp_sent,28,30
146,3,"[20, 26, 26]",19,CURRENT_icmp_sent,29,31
147,3,"[7, 7, 10]",20,CURRENT_icmp_recv,5,7
148,3,"[5, 7, 7]",20,CURRENT_icmp_recv,6,8
149,3,"[48, 48, 68]",20,CURRENT_icmp_recv,11,13
150,3,"[38, 39, 39]",20,CURRENT_icmp_recv,21,23
151,3,"[39, 39, 96]",20,CURRENT_icmp_recv,22,24
152,3,"[30, 30, 48]",20,CURRENT_icmp_recv,33,35
153,3,"[6, 6, 9]",20,CURRENT_icmp_sent,5,7
154,3,"[5, 6, 6]",20,CURRENT_icmp_sent,6,8
155,3,"[5, 6, 6]",20,CURRENT_icmp_sent,7,9
156,3,"[5, 6, 82]",20,CURRENT_icmp_sent,8,10
157,3,"[25, 25, 51]",21,CURRENT_icmp_recv,11,13
158,3,"[25, 26, 87]",21,CURRENT_icmp_recv,13,15
159,3,"[51, 55, 353]",21,CURRENT_icmp_recv,28,30
160,3,"[35, 72, 73]",21,CURRENT_icmp_sent,17,19
161,3,"[36, 38, 318]",21,CURRENT_icmp_sent,28,30
162,3,"[44, 45, 94]",22,CURRENT_icmp_recv,12,14
163,3,"[37, 57, 57]",22,CURRENT_icmp_recv,15,17
164,3,"[46, 92, 92]",22,CURRENT_icmp_recv,29,31
165,3,"[14, 15, 15]",22,CURRENT_icmp_sent,6,8
166,3,"[15, 15, 35]",22,CURRENT_icmp_sent,7,9
167,3,"[37, 38, 77]",22,CURRENT_icmp_sent,10,12
168,3,"[10, 11, 11]",23,CURRENT_icmp_sent,7,9
169,3,"[11, 11, 25]",23,CURRENT_icmp_sent,8,10
170,3,"[21, 21, 25]",23,CURRENT_icmp_sent,32,34
171,3,"[20, 21, 21]",23,CURRENT_icmp_sent,33,35
172,3,"[9, 12, 12]",24,CURRENT_icmp_recv,6,8
173,3,"[12, 12, 18]",24,CURRENT_icmp_recv,7,9
174,3,"[35, 47, 47]",24,CURRENT_icmp_recv,24,26
175,3,"[47, 47, 106]",24,CURRENT_icmp_recv,25,27
176,3,"[8, 8, 13]",24,CURRENT_icmp_sent,3,5
177,3,"[7, 8, 8]",24,CURRENT_icmp_sent,4,6
178,3,"[7, 7, 8]",24,CURRENT_icmp_sent,5,7
179,3,"[7, 7, 8]",24,CURRENT_icmp_sent,6,8
180,3,"[39, 41, 156]",24,CURRENT_icmp_sent,13,15
181,3,"[41, 44, 156]",24,CURRENT_icmp_sent,14,16
182,3,"[36, 36, 40]",24,CURRENT_icmp_sent,31,33
183,3,"[39, 39, 40]",25,CURRENT_icmp_recv,21,23
184,3,"[38, 39, 39]",25,CURRENT_icmp_recv,22,24
185,3,"[38, 39, 79]",25,CURRENT_icmp_recv,23,25
186,3,"[8, 9, 9]",25,CURRENT_icmp_sent,4,6
187,3,"[7, 9, 9]",25,CURRENT_icmp_sent,7,9
188,3,"[13, 19, 19]",25,CURRENT_icmp_sent,22,24
189,3,"[19, 19, 51]",25,CURRENT_icmp_sent,23,25
190,3,"[3, 3, 7]",26,CURRENT_icmp_recv,3,5
191,3,"[3, 3, 5]",26,CURRENT_icmp_recv,4,6
192,3,"[3, 3, 5]",26,CURRENT_icmp_recv,5,7
193,3,"[3, 5, 5]",26,CURRENT_icmp_sent,3,5
194,3,"[3, 3, 5]",26,CURRENT_icmp_sent,4,6
195,3,"[3, 3, 5]",26,CURRENT_icmp_sent,5,7
196,3,"[3, 3, 5]",26,CURRENT_icmp_sent,7,9
197,3,"[3, 3, 5]",26,CURRENT_icmp_sent,8,10
198,3,"[5, 8, 8]",26,CURRENT_icmp_sent,19,21
199,3,"[6, 6, 21]",26,CURRENT_icmp_sent,26,28
200,3,"[6, 6, 15]",26,CURRENT_icmp_sent,27,29
201,3,"[34, 35, 77]",27,CURRENT_icmp_recv,7,9
202,3,"[48, 48, 59]",27,CURRENT_icmp_recv,26,28
203,3,"[48, 48, 52]",27,CURRENT_icmp_recv,27,29
204,3,"[23, 23, 47]",27,CURRENT_icmp_sent,17,19
205,3,"[23, 23, 42]",27,CURRENT_icmp_sent,18,20
206,3,"[8, 8, 10]",28,CURRENT_icmp_recv,4,6
207,3,"[2, 8, 8]",28,CURRENT_icmp_recv,5,7
208,3,"[2, 8, 8]",28,CURRENT_icmp_recv,6,8
209,3,"[62, 63, 100]",28,CURRENT_icmp_recv,14,16
210,3,"[66, 67, 109]",28,CURRENT_icmp_recv,23,25
211,3,"[40, 41, 76]",28,CURRENT_icmp_recv,30,32
212,3,"[40, 75, 76]",28,CURRENT_icmp_recv,31,33
213,3,"[18, 75, 76]",28,CURRENT_icmp_recv,32,34
214,3,"[6, 8, 8]",28,CURRENT_icmp_sent,3,5
215,3,"[6, 6, 8]",28,CURRENT_icmp_sent,4,6
216,3,"[7, 8, 8]",28,CURRENT_icmp_sent,8,10
217,3,"[8, 8, 29]",28,CURRENT_icmp_sent,9,11
218,3,"[9, 18, 18]",28,CURRENT_icmp_sent,29,31
219,3,"[18, 18, 35]",28,CURRENT_icmp_sent,30,32
220,3,"[26, 78, 79]",29,CURRENT_icmp_recv,15,17
221,3,"[23, 78, 79]",29,CURRENT_icmp_recv,16,18
222,3,"[22, 22, 39]",29,CURRENT_icmp_recv,31,33
223,3,"[22, 22, 39]",29,CURRENT_icmp_recv,32,34
224,3,"[5, 22, 22]",29,CURRENT_icmp_recv,33,35
225,3,"[3, 5, 5]",29,CURRENT_icmp_sent,3,5
226,3,"[3, 4, 4]",29,CURRENT_icmp_sent,5,7
227,3,"[3, 4, 4]",29,CURRENT_icmp_sent,6,8
228,3,"[24, 58, 58]",29,CURRENT_icmp_sent,11,13
229,3,"[7, 8, 8]",30,CURRENT_icmp_recv,7,9
230,3,"[53, 56, 178]",31,CURRENT_icmp_recv,32,34
231,3,"[3, 3, 5]",31,CURRENT_icmp_sent,4,6
232,3,"[3, 5, 5]",31,CURRENT_icmp_sent,5,7
