outlier_no,subset_size,subset,NODE,DATA TYPE,index_first_element,index_last_element
1,5,"[4, 4, 4, 4, 5]",2,CURRENT_icmp_sent,9,13
2,5,"[3, 4, 4, 4, 4]",2,CURRENT_icmp_sent,11,15
3,5,"[4, 4, 4, 4, 5]",3,CURRENT_icmp_recv,5,9
4,5,"[4, 4, 4, 4, 5]",3,CURRENT_icmp_recv,7,11
5,5,"[6, 6, 6, 6, 8]",3,CURRENT_icmp_sent,22,26
6,5,"[5, 6, 6, 6, 6]",3,CURRENT_icmp_sent,24,28
7,5,"[5, 6, 6, 6, 6]",3,CURRENT_icmp_sent,25,29
8,5,"[3, 3, 3, 3, 6]",4,CURRENT_icmp_recv,14,18
9,5,"[3, 3, 3, 3, 4]",4,CURRENT_icmp_recv,16,20
10,5,"[3, 3, 3, 3, 4]",4,CURRENT_icmp_recv,17,21
11,5,"[5, 5, 5, 5, 6]",4,CURRENT_icmp_sent,11,15
12,5,"[4, 5, 5, 5, 5]",4,CURRENT_icmp_sent,12,16
13,5,"[4, 5, 5, 5, 5]",4,CURRENT_icmp_sent,13,17
14,5,"[4, 5, 5, 5, 5]",4,CURRENT_icmp_sent,14,18
15,5,"[4, 5, 5, 5, 5]",4,CURRENT_icmp_sent,26,30
16,5,"[3, 3, 3, 3, 7]",6,CURRENT_icmp_recv,13,17
17,5,"[6, 6, 6, 6, 8]",6,CURRENT_icmp_sent,28,32
18,5,"[6, 6, 6, 6, 9]",6,CURRENT_icmp_sent,29,33
19,5,"[3, 4, 4, 4, 4]",8,CURRENT_icmp_sent,14,18
20,5,"[3, 4, 4, 4, 4]",8,CURRENT_icmp_sent,15,19
21,5,"[2, 4, 4, 4, 4]",9,CURRENT_icmp_sent,17,21
22,5,"[3, 4, 4, 4, 4]",9,CURRENT_icmp_sent,19,23
23,5,"[3, 4, 4, 4, 4]",9,CURRENT_icmp_sent,20,24
24,5,"[3, 4, 4, 4, 4]",9,CURRENT_icmp_sent,21,25
25,5,"[2, 3, 3, 3, 3]",9,CURRENT_icmp_sent,27,31
26,5,"[3, 3, 3, 3, 5]",9,CURRENT_icmp_sent,28,32
27,5,"[4, 7, 7, 7, 7]",10,CURRENT_icmp_recv,0,4
28,5,"[4, 7, 7, 7, 7]",10,CURRENT_icmp_recv,1,5
29,5,"[2, 3, 3, 3, 3]",11,CURRENT_icmp_recv,22,26
30,5,"[2, 4, 4, 4, 4]",11,CURRENT_icmp_sent,18,22
31,5,"[2, 4, 4, 4, 4]",11,CURRENT_icmp_sent,21,25
32,5,"[2, 4, 4, 4, 4]",11,CURRENT_icmp_sent,22,26
33,5,"[3, 4, 4, 4, 4]",12,CURRENT_icmp_sent,3,7
34,5,"[3, 4, 4, 4, 4]",12,CURRENT_icmp_sent,15,19
35,5,"[3, 4, 4, 4, 4]",12,CURRENT_icmp_sent,16,20
36,5,"[3, 4, 4, 4, 4]",12,CURRENT_icmp_sent,17,21
37,5,"[3, 4, 4, 4, 4]",12,CURRENT_icmp_sent,26,30
38,5,"[3, 4, 4, 4, 4]",12,CURRENT_icmp_sent,28,32
